"エリア番号","エリア","地域番号","地域","番号","名前","カラー区分","ファイル名","フォルダ名"
"01","北海道","01","北海道","01","牛","","01_北海道_01_北海道_01_牛.jpg","01hokkaido"
"01","北海道","01","北海道","02","ひぐま","","01_北海道_01_北海道_02_ひぐま.jpg","01hokkaido"
"01","北海道","01","北海道","03","とうきび","","01_北海道_01_北海道_03_とうきび.jpg","01hokkaido"
"01","北海道","01","北海道","04","クリオネ","","01_北海道_01_北海道_04_クリオネ.jpg","01hokkaido"
"01","北海道","01","北海道","05","ラベンダー","","01_北海道_01_北海道_05_ラベンダー.jpg","01hokkaido"
"01","北海道","01","北海道","06","まりも","","01_北海道_01_北海道_06_まりも.jpg","01hokkaido"
"01","北海道","01","北海道","07","クリオネ","_ピンク","01_北海道_01_北海道_07_クリオネ__ピンク.jpg","01hokkaido"
"01","北海道","01","北海道","08","メロン","","01_北海道_01_北海道_08_メロン.jpg","01hokkaido"
"01","北海道","01","北海道","09","ジンギスカン","","01_北海道_01_北海道_09_ジンギスカン.jpg","01hokkaido"
"01","北海道","01","北海道","10","かに","","01_北海道_01_北海道_10_かに.jpg","01hokkaido"
"01","北海道","01","北海道","11","函館","","01_北海道_01_北海道_11_函館.jpg","01hokkaido"
"01","北海道","01","北海道","12","キタキツネ","","01_北海道_01_北海道_12_キタキツネ.jpg","01hokkaido"
"01","北海道","01","北海道","13","シロクマ","","01_北海道_01_北海道_13_シロクマ.jpg","01hokkaido"
"01","北海道","01","北海道","14","地図","総柄","01_北海道_01_北海道_14_地図_総柄.jpg","01hokkaido"
"01","北海道","01","北海道","15","クリオネ","総柄","01_北海道_01_北海道_15_クリオネ_総柄.jpg","01hokkaido"
"01","北海道","01","北海道","16","函館夜景","総柄","01_北海道_01_北海道_16_函館夜景_総柄.jpg","01hokkaido"
"01","北海道","01","北海道","17","雪うさぎ","","01_北海道_01_北海道_17_雪うさぎ.jpg","01hokkaido"
"01","北海道","01","北海道","18","雪うさぎ","LL","01_北海道_01_北海道_18_雪うさぎ_LL.jpg","01hokkaido"
"01","北海道","01","北海道","19","ナキウサギ","","01_北海道_01_北海道_19_ナキウサギ.jpg","01hokkaido"
"01","北海道","01","北海道","20","豚丼","","01_北海道_01_北海道_20_豚丼.jpg","01hokkaido"
"01","北海道","01","北海道","21","ラーメン","","01_北海道_01_北海道_21_ラーメン.jpg","01hokkaido"
"01","北海道","01","北海道","22","流氷","","01_北海道_01_北海道_22_流氷.jpg","01hokkaido"
"01","北海道","01","北海道","23","いくら","","01_北海道_01_北海道_23_いくら.jpg","01hokkaido"
"01","北海道","01","北海道","24","ほたて","","01_北海道_01_北海道_24_ほたて.jpg","01hokkaido"
"01","北海道","01","北海道","25","ししゃも","","01_北海道_01_北海道_25_ししゃも.jpg","01hokkaido"
"01","北海道","01","北海道","26","じゃがいも","","01_北海道_01_北海道_26_じゃがいも.jpg","01hokkaido"
"01","北海道","01","北海道","27","シマエナガ","","01_北海道_01_北海道_27_シマエナガ.jpg","01hokkaido"
"01","北海道","01","北海道","28","しゃけ","","01_北海道_01_北海道_28_しゃけ.jpg","01hokkaido"
"01","北海道","01","北海道","29","クラーク","","01_北海道_01_北海道_29_クラーク.jpg","01hokkaido"
"01","北海道","01","北海道","30","丹頂鶴","","01_北海道_01_北海道_30_丹頂鶴.jpg","01hokkaido"
"01","北海道","01","北海道","31","ウニ","","01_北海道_01_北海道_31_ウニ.jpg","01hokkaido"
"01","北海道","01","北海道","32","ホルスタイン","","01_北海道_01_北海道_32_ホルスタイン.jpg","01hokkaido"
"01","北海道","01","北海道","33","登別鬼","赤","01_北海道_01_北海道_33_登別鬼_赤.jpg","01hokkaido"
"01","北海道","01","北海道","34","チーズ","","01_北海道_01_北海道_34_チーズ.jpg","01hokkaido"
"01","北海道","01","北海道","35","ザンギ","","01_北海道_01_北海道_35_ザンギ.jpg","01hokkaido"
"01","北海道","01","北海道","36","シマエナガ","総柄","01_北海道_01_北海道_36_シマエナガ_総柄.jpg","01hokkaido"
"01","北海道","01","北海道","37","ビール","","01_北海道_01_北海道_37_ビール.jpg","01hokkaido"
"01","北海道","01","北海道","38","エゾリス","","01_北海道_01_北海道_38_エゾリス.jpg","01hokkaido"
"01","北海道","01","北海道","39","エゾ","","01_北海道_01_北海道_39_エゾ.jpg","01hokkaido"
"01","北海道","01","北海道","40","アスパラガス","","01_北海道_01_北海道_40_アスパラガス.jpg","01hokkaido"
"01","北海道","01","北海道","41","あずき","","01_北海道_01_北海道_41_あずき.jpg","01hokkaido"
"01","北海道","01","北海道","42","クリオネN","","01_北海道_01_北海道_42_クリオネN.jpg","01hokkaido"
"01","北海道","01","北海道","43","クリオネ_ピンクN","ピンクN","01_北海道_01_北海道_43_クリオネ_ピンクN.jpg","01hokkaido"
"01","北海道","01","北海道","44","狸小路","","01_北海道_01_北海道_44_狸小路.jpg","01hokkaido"
"01","北海道","02","美瑛","01","青い池","","01_北海道_02_美瑛_01_青い池.jpg","01hokkaido"
"01","北海道","03","函館山","01","夜景","","01_北海道_03_函館山_01_夜景.jpg","01hokkaido"
"01","北海道","03","函館山","02","イカ","","01_北海道_03_函館山_02_イカ.jpg","01hokkaido"
"01","北海道","03","函館山","03","ロープウェイ","","01_北海道_03_函館山_03_ロープウェイ.jpg","01hokkaido"
"02","東北","01","東北","01","こけし","","02_東北_01_東北_01_こけし.jpg","02tohoku"
"02","東北","02","青森","01","リンゴ","","02_東北_02_青森_01_リンゴ.jpg","02tohoku"
"02","東北","02","青森","02","マグロ","","02_東北_02_青森_02_マグロ.jpg","02tohoku"
"02","東北","02","青森","03","はねと","","02_東北_02_青森_03_はねと.jpg","02tohoku"
"02","東北","02","青森","04","にんにく","","02_東北_02_青森_04_にんにく.jpg","02tohoku"
"02","東北","03","岩手","01","わんこそば","総柄","02_東北_03_岩手_01_わんこそば_総柄.jpg","02tohoku"
"02","東北","03","岩手","02","カッパ","","02_東北_03_岩手_02_カッパ.jpg","02tohoku"
"02","東北","03","岩手","03","南部鉄器","","02_東北_03_岩手_03_南部鉄器.jpg","02tohoku"
"02","東北","03","岩手","04","わんこそば","","02_東北_03_岩手_04_わんこそば.jpg","02tohoku"
"02","東北","04","宮城","01","伊達政宗","ピンク","02_東北_04_宮城_01_伊達政宗_ピンク.jpg","02tohoku"
"02","東北","04","宮城","02","伊達政宗","ブルー","02_東北_04_宮城_02_伊達政宗_ブルー.jpg","02tohoku"
"02","東北","04","宮城","03","牛たん","","02_東北_04_宮城_03_牛たん.jpg","02tohoku"
"02","東北","04","宮城","04","伊達政宗","兜_総柄","02_東北_04_宮城_04_伊達政宗_兜_総柄.jpg","02tohoku"
"02","東北","04","宮城","05","笹かま","総柄","02_東北_04_宮城_05_笹かま_総柄.jpg","02tohoku"
"02","東北","04","宮城","06","ずんだ","","02_東北_04_宮城_06_ずんだ.jpg","02tohoku"
"02","東北","04","宮城","07","伊達政宗","クロ","02_東北_04_宮城_07_伊達政宗_クロ.jpg","02tohoku"
"02","東北","04","宮城","08","仙台七夕","","02_東北_04_宮城_08_仙台七夕.jpg","02tohoku"
"02","東北","04","宮城","09","牛たん","","02_東北_04_宮城_09_牛たん.jpg","02tohoku"
"02","東北","04","宮城","10","ほや","","02_東北_04_宮城_10_ほや.jpg","02tohoku"
"02","東北","04","宮城","11","ずんだ餅","","02_東北_04_宮城_11_ずんだ餅.jpg","02tohoku"
"02","東北","04","宮城","12","騎馬像","総柄","02_東北_04_宮城_12_騎馬像_総柄.jpg","02tohoku"
"02","東北","05","秋田","01","なまはげ","レッド","02_東北_05_秋田_01_なまはげ_レッド.jpg","02tohoku"
"02","東北","05","秋田","02","なまはげ","ブルー","02_東北_05_秋田_02_なまはげ_ブルー.jpg","02tohoku"
"02","東北","05","秋田","03","きりたんぽ","","02_東北_05_秋田_03_きりたんぽ.jpg","02tohoku"
"02","東北","05","秋田","04","秋田犬","","02_東北_05_秋田_04_秋田犬.jpg","02tohoku"
"02","東北","05","秋田","05","なまはげ","総柄_L","02_東北_05_秋田_05_なまはげ_総柄_L.jpg","02tohoku"
"02","東北","05","秋田","06","なまはげ","総柄","02_東北_05_秋田_06_なまはげ_総柄.jpg","02tohoku"
"02","東北","05","秋田","07","秋田犬","総柄_L","02_東北_05_秋田_07_秋田犬_総柄_L.jpg","02tohoku"
"02","東北","05","秋田","08","秋田犬","総柄","02_東北_05_秋田_08_秋田犬_総柄.jpg","02tohoku"
"02","東北","05","秋田","09","秋田美人","","02_東北_05_秋田_09_秋田美人.jpg","02tohoku"
"02","東北","05","秋田","10","比内地鶏","","02_東北_05_秋田_10_比内地鶏.jpg","02tohoku"
"02","東北","06","山形","01","さくらんぼ","","02_東北_06_山形_01_さくらんぼ.jpg","02tohoku"
"02","東北","06","山形","02","ラフランス","","02_東北_06_山形_02_ラフランス.jpg","02tohoku"
"02","東北","07","福島","01","桃","","02_東北_07_福島_01_桃.jpg","02tohoku"
"02","東北","07","福島","02","赤べこ","","02_東北_07_福島_02_赤べこ.jpg","02tohoku"
"02","東北","07","福島","03","白虎隊","","02_東北_07_福島_03_白虎隊.jpg","02tohoku"
"02","東北","07","福島","04","赤べこ","総柄","02_東北_07_福島_04_赤べこ_総柄.jpg","02tohoku"
"02","東北","07","福島","05","おきあがりこぼし","","02_東北_07_福島_05_おきあがりこぼし.jpg","02tohoku"
