大分類番号	中分類名	県NO	地域	カラー区分	並び順	名前	入手日
01_北海道モケケ	01_北海道	001	北海道	青	45	宗谷岬	
01_北海道モケケ	01_北海道	001	北海道	黄	44	狸小路	
01_北海道モケケ	01_北海道	001	北海道	赤	43	クリオネ ピンクN	
01_北海道モケケ	01_北海道	001	北海道	青	42	クリオネN	
01_北海道モケケ	01_北海道	001	北海道	赤	41	あずき	
01_北海道モケケ	01_北海道	001	北海道	緑	40	アスパラガス	
01_北海道モケケ	01_北海道	001	北海道	黃	39	エゾシカ	
01_北海道モケケ	01_北海道	001	北海道	黃	38	エゾリス	
01_北海道モケケ	01_北海道	001	北海道	黃	37	ビール	
01_北海道モケケ	01_北海道	001	北海道	総柄	36	シマエナガ　総柄	
01_北海道モケケ	01_北海道	001	北海道	黃	35	ザンギ	
01_北海道モケケ	01_北海道	001	北海道	黃	34	チーズ	
01_北海道モケケ	01_北海道	001	北海道	赤 ピンク	33	登別鬼　赤	
01_北海道モケケ	01_北海道	001	北海道	白？	32	ホルスタイン	
01_北海道モケケ	01_北海道	001	北海道	黃	31	ウニ	
01_北海道モケケ	01_北海道	001	北海道	白	30	丹頂鶴	
01_北海道モケケ	01_北海道	001	北海道	黃	29	クラーク	
01_北海道モケケ	01_北海道	001	北海道	黃	28	しゃけ	
01_北海道モケケ	01_北海道	001	北海道	白	27	シマエナガ	
01_北海道モケケ	01_北海道	001	北海道	黃	26	じゃがいも	
01_北海道モケケ	01_北海道	001	北海道	グレー	25	ししゃも	
01_北海道モケケ	01_北海道	001	北海道	白	24	ほたて	
01_北海道モケケ	01_北海道	001	北海道	赤 ピンク	23	いくら	
01_北海道モケケ	01_北海道	001	北海道	青	22	流氷	
01_北海道モケケ	01_北海道	001	北海道	黃	21	ラーメン	
01_北海道モケケ	01_北海道	001	北海道	赤 ピンク	20	豚丼	
01_北海道モケケ	01_北海道	001	北海道	黃	19	ナキウサギ	
01_北海道モケケ	01_北海道	001	北海道	白	18	雪うさぎ　LL	2019/02/22
01_北海道モケケ	01_北海道	001	北海道	白	17	雪うさぎ	2019/02/22
01_北海道モケケ	01_北海道	001	北海道	総柄	16	函館夜景　総柄	2018/07/01
01_北海道モケケ	01_北海道	001	北海道	総柄	15	クリオネ　総柄	2018/07/01
01_北海道モケケ	01_北海道	001	北海道	総柄	14	地図　総柄	2018/07/01
01_北海道モケケ	01_北海道	001	北海道	白	13	シロクマ	2018/07/01
01_北海道モケケ	01_北海道	001	北海道	黃	12	キタキツネ	2018/07/01
01_北海道モケケ	01_北海道	001	北海道	黒	11	函館	2018/07/01
01_北海道モケケ	01_北海道	001	北海道	赤	10	かに	2018/07/01
01_北海道モケケ	01_北海道	001	北海道	白	9	ジンギスカン	2018/07/01
01_北海道モケケ	01_北海道	001	北海道	緑	8	メロン	2018/07/01
01_北海道モケケ	01_北海道	001	北海道	赤	7	クリオネピンク	2018/07/01
01_北海道モケケ	01_北海道	001	北海道	緑	6	まりも	2018/07/01
01_北海道モケケ	01_北海道	001	北海道	青	5	ラベンダー	2018/07/01
01_北海道モケケ	01_北海道	001	北海道	青	4	クリオネ	2018/07/01
01_北海道モケケ	01_北海道	001	北海道	黃	3	とうきび	2018/07/01
01_北海道モケケ	01_北海道	001	北海道	茶	2	ひぐま	○
01_北海道モケケ	01_北海道	001	北海道	白	1	牛	○
01_北海道モケケ	02_美瑛	001B	美瑛	青	1	青い池	
01_北海道モケケ	03_函館山	001H	函館山	黒	4	星	
01_北海道モケケ	03_函館山	001H	函館山	緑	3	ロープウェイ	
01_北海道モケケ	03_函館山	001H	函館山	白	2	イカ	
01_北海道モケケ	03_函館山	001H	函館山	青	1	夜景	
02_東北 モケケ	01_東北	002X	東北	黃	1	こけし	2020/12/31
02_東北 モケケ	02_青森	002	青森	白	4	にんにく	2023/11/01
02_東北 モケケ	02_青森	002	青森	赤	3	はねと	2020/12/31
02_東北 モケケ	02_青森	002	青森	青	2	マグロ	2024/11/08
02_東北 モケケ	02_青森	002	青森	赤	1	りんご	2024/11/08
02_東北 モケケ	03_岩手	003	岩手	黒	4	わんこそば	2023/11/01
02_東北 モケケ	03_岩手	003	岩手	グレー	3	南部鉄器	2024/07/01
02_東北 モケケ	03_岩手	003	岩手	緑	2	カッパ	2020/12/31
02_東北 モケケ	03_岩手	003	岩手	総柄	1	わんこそば総柄	2020/12/31
02_東北 モケケ	04_宮城	004	宮城	白	17	カキ	
02_東北 モケケ	04_宮城	004	宮城	赤	16	伊達政宗 春P	
02_東北 モケケ	04_宮城	004	宮城	緑	15	伊達政宗 夏G	
02_東北 モケケ	04_宮城	004	宮城	黄	14	伊達政宗 秋O	
02_東北 モケケ	04_宮城	004	宮城	青	13	伊達政宗 冬B	
02_東北 モケケ	04_宮城	004	宮城	総柄	12	騎馬像　総柄	6/5
02_東北 モケケ	04_宮城	004	宮城	白	11	ずんだ餅	2024/11/08
02_東北 モケケ	04_宮城	004	宮城	黃	10	ほや	2023/12/05
02_東北 モケケ	04_宮城	004	宮城	黃	9	牛たん	2023/12/13
02_東北 モケケ	04_宮城	004	宮城	赤	8	仙台七夕	2025/07/03
