中分類番号	中分類名
1	北海道
1	北海道
1	北海道
1	北海道
1	北海道
1	北海道
1	北海道
1	北海道
1	北海道
1	北海道
1	北海道
1	北海道
1	北海道
1	北海道
1	北海道
1	北海道
1	北海道
1	北海道
1	北海道
1	北海道
1	北海道
1	北海道
1	北海道
1	北海道
1	北海道
1	北海道
1	北海道
1	北海道
1	北海道
1	北海道
1	北海道
1	北海道
1	北海道
1	北海道
1	北海道
1	北海道
1	北海道
1	北海道
1	北海道
1	北海道
1	北海道
1	北海道
1	北海道
1	北海道
1	北海道
2	美瑛
3	函館山
3	函館山
3	函館山
3	函館山
2	青森
2	青森
2	青森
2	青森
1	東北
3	岩手
3	岩手
3	岩手
3	岩手
4	宮城
4	宮城
4	宮城
4	宮城
4	宮城
4	宮城
4	宮城
4	宮城
4	宮城
4	宮城
4	宮城
4	宮城
4	宮城
4	宮城
4	宮城
4	宮城
4	宮城
5	秋田
5	秋田
5	秋田
5	秋田
5	秋田
5	秋田
5	秋田
5	秋田
5	秋田
5	秋田
6	山形
6	山形
7	福島
7	福島
7	福島
7	福島
7	福島
7	福島
7	福島
7	福島
7	福島
7	福島
7	福島
7	福島
7	福島
7	福島
7	福島
1	茨城
1	茨城
1	茨城
1	茨城
1	茨城
1	茨城
1	茨城
2	栃木
2	栃木
2	栃木
2	栃木
2	栃木
2	栃木
2	栃木
2	栃木
2	栃木
2	栃木
2	栃木
2	栃木
2	栃木
2	栃木
2	栃木
3	あしかがフラワーパーク
4	群馬
4	群馬
4	群馬
4	群馬
4	群馬
4	群馬
4	群馬
4	群馬
5	荻野屋
6	埼玉
6	埼玉
6	埼玉
6	埼玉
7	千葉
7	千葉
8	東京
8	東京
8	東京
8	東京
8	東京
8	東京
8	東京
8	東京
8	東京
8	東京
8	東京
9	よみうりランド
9	よみうりランド
9	よみうりランド
17	神奈川
17	神奈川
17	神奈川
18	海老名
13	江ノ島
16	箱根
16	箱根
16	箱根
15	伊豆
14	伊豆・箱根
14	伊豆・箱根
14	伊豆・箱根
12	鎌倉
12	鎌倉
11	湘南
11	湘南
10	横浜
10	横浜
10	横浜
10	横浜
10	横浜
10	横浜
10	横浜
10	横浜
10	横浜
10	横浜
1	新潟
1	新潟
1	新潟
1	新潟
1	新潟
1	新潟
1	新潟
1	新潟
2	富山
2	富山
2	富山
2	富山
2	富山
3	石川
3	石川
3	石川
3	石川
4	北陸
5	福井
5	福井
5	福井
6	山梨
6	山梨
6	山梨
6	山梨
6	山梨
6	山梨
8	軽井沢
7	信州
7	信州
7	信州
7	信州
7	信州
7	信州
7	信州
7	信州
7	信州
7	信州
7	信州
7	信州
7	信州
7	信州
7	信州
7	信州
7	信州
7	信州
7	信州
9	諏訪湖
10	善光寺
11	飛騨
11	飛騨
11	飛騨
11	飛騨
11	飛騨
11	飛騨
11	飛騨
11	飛騨
11	飛騨
11	飛騨
11	飛騨
12	下呂温泉
13	静岡
13	静岡
13	静岡
13	静岡
13	静岡
13	静岡
13	静岡
13	静岡
13	静岡
13	静岡
13	静岡
13	静岡
13	静岡
13	静岡
13	静岡
13	静岡
13	静岡
13	静岡
13	静岡
13	静岡
13	静岡
13	静岡
13	静岡
16	富士山
16	富士山
16	富士山
16	富士山
16	富士山
16	富士山
16	富士山
14	熱海
14	熱海
18	富士スピードウェイ
17	富士急ハイランド
15	沼津
15	沼津
15	沼津
15	沼津
15	沼津
15	沼津
19	アルプス
19	アルプス
19	アルプス
19	アルプス
20	名古屋
20	名古屋
20	名古屋
20	名古屋
20	名古屋
20	名古屋
20	名古屋
21	ナゴヤドーム
22	中日ドラゴンズ
22	中日ドラゴンズ
22	中日ドラゴンズ
22	中日ドラゴンズ
22	中日ドラゴンズ
22	中日ドラゴンズ
22	中日ドラゴンズ
22	中日ドラゴンズ
22	中日ドラゴンズ
22	中日ドラゴンズ
22	中日ドラゴンズ
22	中日ドラゴンズ
23	三重
23	三重
23	三重
23	三重
23	三重
1	滋賀
1	滋賀
1	滋賀
1	滋賀
2	京都
2	京都
2	京都
2	京都
2	京都
2	京都
2	京都
2	京都
2	京都
2	京都
2	京都
2	京都
2	京都
2	京都
2	京都
2	京都
3	大阪
3	大阪
3	大阪
3	大阪
3	大阪
3	大阪
3	大阪
3	大阪
3	大阪
3	大阪
3	大阪
3	大阪
3	大阪
10	淡路島
6	姫路
6	姫路
6	姫路
6	姫路
4	兵庫
7	城崎
7	城崎
5	神戸
5	神戸
5	神戸
5	神戸
5	神戸
5	神戸
8	但馬
8	但馬
9	奈良
9	奈良
9	奈良
2	鳥取
2	鳥取
2	鳥取
2	鳥取
2	鳥取
1	山陰
1	山陰
1	山陰
3	島根
3	島根
3	島根
3	島根
4	岡山
4	岡山
4	岡山
4	岡山
4	岡山
4	岡山
4	岡山
4	岡山
4	岡山
4	岡山
4	岡山
5	瀬戸内
5	瀬戸内
5	瀬戸内
6	広島
6	広島
6	広島
6	広島
6	広島
6	広島
6	広島
6	広島
6	広島
6	広島
7	広島東洋カープ
7	広島東洋カープ
8	山口
8	山口
8	山口
8	山口
8	山口
8	山口
8	山口
1	四国
2	徳島
2	徳島
3	香川
3	香川
3	香川
3	香川
3	香川
4	愛媛
4	愛媛
4	愛媛
4	愛媛
4	愛媛
5	高知
5	高知
5	高知
5	高知
5	高知
5	高知
5	高知
5	高知
5	高知
1	福岡
1	福岡
1	福岡
1	福岡
1	福岡
1	福岡
1	福岡
1	福岡
1	福岡
1	福岡
1	福岡
1	福岡
1	福岡
1	福岡
1	福岡
1	福岡
1	福岡
1	福岡
1	福岡
1	福岡
1	福岡
1	福岡
1	福岡
1	福岡
1	福岡
1	福岡
1	福岡
2	佐賀
2	佐賀
2	佐賀
2	佐賀
2	佐賀
2	佐賀
3	長崎
3	長崎
3	長崎
3	長崎
3	長崎
3	長崎
3	長崎
3	長崎
3	長崎
4	熊本
4	熊本
4	熊本
4	熊本
5	大分
5	大分
5	大分
5	大分
5	大分
5	大分
5	大分
5	大分
5	大分
5	大分
5	大分
5	大分
5	大分
6	宮崎
6	宮崎
6	宮崎
6	宮崎
6	宮崎
6	宮崎
6	宮崎
6	宮崎
6	宮崎
6	宮崎
6	宮崎
7	鹿児島
7	鹿児島
7	鹿児島
7	鹿児島
7	鹿児島
7	鹿児島
7	鹿児島
7	鹿児島
7	鹿児島
7	鹿児島
7	鹿児島
7	鹿児島
7	鹿児島
7	鹿児島
7	鹿児島
7	鹿児島
7	鹿児島
7	鹿児島
7	鹿児島
1	沖縄
1	沖縄
1	沖縄
1	沖縄
1	沖縄
1	沖縄
1	沖縄
1	沖縄
1	沖縄
1	沖縄
1	沖縄
1	沖縄
1	沖縄
1	沖縄
1	沖縄
1	沖縄
1	沖縄
1	沖縄
2	石垣島
2	石垣島
2	石垣島
2	石垣島
2	石垣島
2	石垣島
3	宮古島
3	宮古島
3	宮古島
3	宮古島
3	宮古島
3	宮古島
3	宮古島
3	宮古島
3	宮古島
4	八重山
4	八重山
4	八重山
1	水族館
1	水族館
1	水族館
1	水族館
1	水族館
1	水族館
1	水族館
1	水族館
1	水族館
1	水族館
1	水族館
99	水族館（八景島）
1	水族館
1	水族館
1	水族館
4	その他
4	その他
4	その他
4	その他
99	リゾート限定
1	スポーツ
1	スポーツ
1	スポーツ
1	スポーツ
1	スポーツ
1	スポーツ
1	春
1	春
2	夏
2	夏
2	夏
2	夏
3	ウィンター
3	ウィンター
3	ウィンター
3	ウィンター
3	ウィンター
3	ウィンター
3	ウィンター
3	ウィンター
3	ウィンター
3	ウィンター
3	ウィンター
3	ウィンター
3	ウィンター
3	ウィンター
3	ウィンター
